DateTime,LOAD,is_peak_hour,fcst_naive,fcst_mse_raw,fcst_q667_raw,fcst_hybrid_raw,fcst_mse_corr,fcst_q60_corr,fcst_hybrid_corr,p10,p90
2021-01-01 00:00:00,850.0,0,843.0,880.1979444750983,890.0153829516138,890.0153829516138,853.29339010233,856.8807208981841,863.1108285788455,828.6110078506816,883.6918891171853
2021-01-01 00:15:00,829.937044,0,826.0,867.3609071542561,878.3350646536899,878.3350646536899,840.4563527814878,845.2821648283457,851.4305102809215,820.9089816679657,874.5112189770024
2021-01-01 00:30:00,817.888304,0,812.0,840.5840472272268,858.5035468582142,858.5035468582142,813.6794928544584,825.5894676574383,831.5989924854459,804.2336958487916,855.2091668811922
2021-01-01 00:45:00,808.273308,0,797.0,830.8927467570637,851.0549637157674,851.0549637157674,803.9881923842954,818.1930245969886,824.150409342999,800.4324972985161,853.2172406119738
2021-01-01 01:00:00,796.926988,0,783.0,808.42365447213,836.2928669840335,836.2928669840335,781.5191000993616,803.5342625423768,809.3883126112651,771.990779273112,831.5245546431959
2021-01-01 01:15:00,785.93544,0,772.0,794.2268631660213,817.6415292253088,817.6415292253088,767.3223087932529,785.0134841479633,790.7369748525405,767.8195748967547,824.8813665707219
2021-01-01 01:30:00,774.019864,0,760.0,771.0543974424718,796.4984358036609,796.4984358036609,744.1498430697034,764.018392380267,769.5938814308925,752.0934602575497,804.2718804520389
2021-01-01 01:45:00,761.907212,0,750.0,763.5164381747976,790.5141087407308,790.5141087407308,736.6118838020293,758.0759556067774,763.6095543679623,750.7612024745064,801.9450258958968
2021-01-01 02:00:00,751.979288,0,740.0,746.8036426418635,768.750855266882,768.750855266882,719.899088269095,736.4650449072456,741.8463008941137,743.7674335385275,793.7191937167728
2021-01-01 02:15:00,742.17998,0,731.0,732.6788246300571,752.6529491103296,752.6529491103296,705.7742702572887,720.4798240937889,725.7483947375613,727.2935046903599,772.3579907621506
2021-01-01 02:30:00,732.226864,0,723.0,730.3870409136576,746.6137512874884,746.6137512874884,703.4824865408893,714.4829006557077,719.70919691472,725.8499478797428,770.3418595612735
2021-01-01 02:45:00,724.872468,0,714.0,715.0309306977637,731.7812769611614,731.7812769611614,688.1263763249954,699.7542536496649,704.876722588393,711.9529017191605,756.8319832146158
